audio,filename,Ladino,Español,Türkçe,English
,31-ken-es-esta-amiga_.jpeg,Ken esta amiga de Rashel? La konosko?,¿Quien es esta amiga de Rashel? ¿La conozco?,Kimdir bu Raşel'in arkadaşı? Tanır mıyım?,Who is the friend of Rachel's? Do I know her?
,32-si-la-konoses-300x300.jpeg,"Si, la konoses. Es Berta.","Sí, la conoces. Es Berta.","Evet, tanırsın. Berta.","Yes, you know her. It's Berta."
,33-berta-muestra-amiga-de-buyukada_-300x300.jpeg,"Berta, muestra amiga de Büyükada?","Berta, ¿nuestra amiga de Büyükada?",Berta Büyükada'dan arkadaşımız mı?,"Berta, our friend from Büyükada?"
,34-si-akeya-berta.jpeg,"Si, akeya Berta. Ay 20 anyos ke bive en Paris.",Si aquella Berta. Hace 20 años que vive en París.,"Evet, o Berta. 20 yıldir Paris'te yaşıyor.","Yes, that Berta. She's been living in Paris for 20 years."
,35-este-viernes-empesa-pesah.jpeg,Este viernes empesa Pesah.,Éste viernes empieza Pésaj. (La pascua judía),Bu Cuma Hamursuz Bayramı başlıyor.,Passover starts this Friday.
,36-ay-dos-semanas-ke-esto-en-el-mupak.jpeg,Ay dos semanas ke esto en el mupak.,Hace dos semanas que estoy en la cocina.,İki haftadır mutfaktayım.,I've been in the kitchen for the last two weeks.
,37-tenemos-20-personas-a-komer.jpeg,Tenemos 20 personas a komer para la noche de Pesah.,Tenemos 20 personas a cenar la noche de Pésaj.,Hamursuz gecesi için yemeğe 20 kişimiz var.,We have 20 people for dinner on Passover night.
,38-la-noche-de-pesah-se-kome-i-se-beve.jpeg,La noche de Pesah se kome i se beve muncho.,Se come y se bebe mucho la noche de Pésaj.,Humursuz gecesi çok yenir ve içilir.,We eat and drink a lot on Passover night.
,39-no-se-kome-pan.jpeg,No se kome pan durante los ocho dias de Pesah.,No se come pan durante los ocho días de Pésaj.,Hamursuz'da sekiz gün boyunca ekmek yenmez.,We don't eat bread during the eight days of Passover.
,40-las-komidas-ke-me-plazen.jpeg,Las komidas ke me plazen lo mas en Pesah son las koftikas de prasa i el gató de Pesah.,Mis comidas preferidas de Pésaj son las albondigas de puerro y el pastél de Pésaj.,Hamursuz'da en sevdiğim yemekler pırasa köftesi ve Hamursuz kekidir.,The Passover foods I like best are leek meatballs and the Passover cake.
,41-todos-empesan-a-azer-dieta.jpeg,Despues de Pesah todos empesan a azer dieta!,Todos empiezan a hacer dieta después de Pésaj.,Hamursuz' dan sonra herkes rejim yapmaya başlar.,Everyone starts dieting after Passover.
,42-la-primavera-esta-aki.jpeg,La primavera ya esta aki.,La primavera ya está aqui.,İlkbahar burada.,Spring in here.
,43-los-arvoles-ya-empesaron-de-inchirsen-de-ojas-vedres.jpeg,Los arvoles ya empesaron a inchirsen de ojas vedres.,Los árboles ya empezaron a llenarse de hojas verdes.,Ağaçlar yeşil yapraklarlarla dolmaya başladı.,The trees have started to fill with green leaves.
,44-las-guertas-estan-yenas.jpeg,Las guertas estan yenas de rozas de mil kolores.,Los jardines están llenos de flores de mil colores.,Behçeler bin renkli çiçeklerle dolu.,The gardens are full of flowers of a thousand colors.
,45-en-avril-aze-muncha-luvya.jpeg,En avril aze muncha luvya.,Hay mucha lluvia en abríl.,Nisan ayında çok yağmur yağar.,There are lots of showers in April.
,46-despues-de-las-luvyas-el-sol-siempre-briya-300x300.jpeg,Despues de la luvyas el sol siempre briya.,"Después de las lluvias, el sol siempre brilla.",Yağmurlardan sonra güneş hep parlar.,The Sun always shines after the rains.
,47-kuando-el-sol-briya-todos-estan-felizes.jpeg,"Kuando el sol briya, todos estan felizes.","Cuando el sol brilla, todos están felices.",Güneş parladığında herkes mutlu olur.,"When the Sun shines, everyone is happy."
,48-la-primavera-es-la-mijor-sezon-del-anyo.jpeg,La primavera es la mijor sezon del anyo.,La primavera es la mejor estación del año.,İlkbahar senenin en iyi mevsimidir.,Spring is the best season of the year.
,49-los-chikos-estan-en-el-parko.jpeg,Los chikos estan en el parko.,Los chicos están en el parque.,Çocuklar parkta.,The children are at the park.
,50-se-estan-paseando-kon-las-bisikletas.jpeg,Se estan paseando kon las bisikletas.,Están paseando con las bicis.,Bisikletlerile geziyorlar.,They are touring on their bikes.
,51-las-madres-estan-asentadas-en-los-bankos-del-parko.jpeg,Las madres estan asentadas en los bankos del parko.,Las madres están sentadas en los bancos del parque.,Anneler parktaki banklarda oturuyorlar.,The mothers are sitting on the park's benches.
,52-eyas-estan-aziendo-muabbet.jpeg,Eyas estan aziendo muabbet mientras ke estan asperando a los chikos.,Ellas están charlando mientras que están esperando a los niños.,Çocukları beklerken sohbet ediyorlar.,They are talking while waiting for the children.
,53-estan-mirando-la-ora.jpeg,Estan mirando la ora. Ya se izo midi.,Están mirando la hora. Ya es mediodía.,Saate bakıyorlar. Öğlen olmuş.,They are looking at the time. It is midday.
,54-las-madres-estan-yamando-a-los-chikos.jpeg,Las madres estan yamando a los chikos porke es ora de komer.,Las madres están llamando a los niños porque es hora de comer.,Anneler çocukları çağıriyor çünkü yemek saati.,The mothers are calling for their kids because it is time to eat.
,55-los-chikos-tienen-ambre-i-vienen-korriendo.jpeg,Los chikos tienen ambre i vienen korriendo.,Los niños tiene hambre y vienen corriendo.,Çocuklar acıkmış ve koşarak geliyorlar.,The kids are hungry and they come running.
,56-oy-es-el-aniversario-de-mi-marido.jpeg,Oy es el aniversario de mi marido.,Hoy es el cumpleaños de mi marido / esposo.,Bügün kacamin doğumgünü.,Today is my husband's birthday.
,57-no-se-ke-merkarle-or-regalo.jpeg,No se ke markarle por regalo.,No sé que comprarle por regalo.,Ne hediye alaçağımı bilemiyorum.,I don't know what present to get him.
,58-es-muy-difisil-topar.jpeg,Es muy difisil topar regalo para un ombre.,Es muy dificil encontrar regalo para un hombre.,Erkek için hediye bulmak çok zordur.,It is very difficult to find a present for a man.
,59-asta-agora-le-di-una-kamiza.jpeg,"Asta agora le di una kamiza, una kravata, una djaketa, una ora i un pantalon.","Hasta ahora, le he dado una camisa, una corbata, una chaqueta, un reloj y unos pantalones.","Şimdiye kadar gömlek, kravat, ceket, saat ve pantalon aldım.","Until now, I gave him a shirt, a tie, a jacket, a watch and some trousers."
,60-a-si.-tiene-menester-de.jpeg,"A si, Tiene menester de un mayo ermozo.","Ah sí, Necesita un hermoso traje de baño.","Ah, evet. Güzel bir mayoya ihtiyacı var.",Oh yes. He needs a nice bathing suit.
,61-va-ser-difisil-eskojer-la-kolor.jpeg,Va ser difisil eskojer la kolor.,Será difícil escoger el color.,Rengini seçmek zor olacak.,It's going to be difficult to choose the color.
,62-a-mi-marido-le-plaze-kolores-kuyi.jpeg,A mi marido le plaze kolores kuyi ma yo le va merkar un mayo kolorado.,A mi marido le gustan colores oscuros pero le voy a comprar un traje de baño rojo.,Kocam koyu renkler sever ama ben ona kırmızı bir mayo alacağım.,My husband likes dark colors but I will buy him a red bathing suit.
,63-amanyana-la-noche-tenemos-parti.jpeg,Amanyana la noche tenemos parti.,Tenemos fiesta mañana por la noche.,Yarın gece partimiz var.,We have a party tomorrow night.
,64-amanyana-se-serran-las-eskolas.jpeg,Amanyana se serran las eskolas; ke alegriya!,Mañana se cierran las escuelas; ¡que alegría!,Yarın okullar kapanıyor; ne mutluluk.,Schools close tomorrow; what happiness!
,65-la-klasa-entera-vamos-a-selebrar.jpeg,La klasa entera vamos a selebrar endjuntos en el Bosfor.,La clase entera celebrará en el Bósforo.,Bütün sınıf beraberce Boğaz'da kutlayacağız.,The whole class will celebrate together on the Bosphorus.
,66-las-ijas-se-van-a-vistir-fostanes-largos.jpeg,Las ijas se van a vistir fostanos largos.,Las chicas se pondrán vestidos largos.,Kızlar uzun elbise giyecekler.,The girls will wear long dresses.
,67-los-ijos-se-van-a-vistir-kostumes.jpeg,Los ijos de van a vistir kostumes kon kravatas.,Los chicos se vestirán de trajes con corbatas.,Erkekler takım elbise ve kravat giyecekler.,The boys will wear suits with ties.
,68-el-parti-va-ser-en-un-vapor.jpeg,El parti ser en un vapor.,la fiesta tendrá lugar en un barco.,Parti bir vapurda olacak.,The party will take place on a boat.
,69-vamos-a-komer-bever-i-bailar.jpeg,"Vamos a komer, bever i bailar asta la demanyana.","Vamos a comer, beber, y bailar hasta la mañana.","Sabaha kadar yiyeceğiz, içeceğiz, ve dans edeceğiz.","We will eat, drink and dance till morning."
,70-Estambul-es-mi-sivdad-preferida.jpeg,Estambol es mi sivdad preferida; es una sivdad majika.,Estambul es mi ciudad preferida; es una ciudad mágica.,İstanbul en sevdiğim şehirdir; büyülü bir şehirdir.,Istanbul is my favorite city; it's a magical city.
,71-los-turistos-topan-munchas-kozas.jpeg,"Los turistos topan munchas kozas en Estambol: istoria, kultura, natura, ets.","Los turistas encuentran muchas cosas en Estambul: historia, cultura, natura, etc.","Turistler İstanbul'da çok şey bulurlar: tarih, kültür, doğa, vs.","Tourists find a lot of things in Istanbul: history, culture, nature, etc."
,72-el-Bosfor-kon-sus-pontes.jpeg,El Bosfor kon sus pontes: no ay una vista paresida en el mundo.,El Bósforo con sus puentes: no hay una vista parecida en el mundo.,Köprülerile Boğaz: böyle bir manzara yoktur dünyada.,The Bosphorus with its bridges: there is no view to equal it in the world.
,73-los-kebapes-i-las-baklavas.jpeg,Los kebapes i las baklavas son unas de las komidas muy savrozas ke puedes topar.,Los kebapes y las baklavas son unas de las comidas deliciosas que puedes encontrar.,Kebaplar ve balkavalar bulabileceğin leziz yemeklerin bazıları.,The kebaps and baklavas are some of the delicious foods you can find.
,74-kale-ver-Estambol-para-kreer.jpeg,Kale ver Estambol para kreer en su majiya.,Hay que ver Estambul para creer en su magia.,İstanbul'un büyüsüne inanmak için onu görmek gerek.,You have to see Istanbul to believe in its magic.
,75-el-muevo-livro-de-Izzet.jpeg,El muevo livro del fotografo Izzet Keribar esta yeno de fotos Estambol.,El nuevo libro del fotógrafo Izzet Keribar está lleno de fotos de Estambul.,Fotoğrafcı İzzet Keribar'ın yeni kitabı İstanbul fotoğraflarıyla dolu.,Photographer Izzet Keribar's new book is full of photos of Istanbul.
,76-veni-a-ver-Estambol.jpeg,"Veni a ver Estambol, mi amor.","Venid a ver Estambul, mi amor.",Aşkım İstanbul'u gelin ve görün.,"Come and see Istanbul, my love."
,77-una-kazamentera.jpeg,Una kazamentera es una mujer ke aze kazamientos.,Una casamentera es una mujer que arregla matrimonios.,Bir çöpçatan evlilikler ayarlayan bir kadındir.,A matchmaker is a woman who arranges marriages.
,78-una-ichizera.jpeg,Una ichizera es una mujer ke aze ichizos.,Una hechicera es una mujer que hace hechizos.,Bir büyücü (kadın) büyü yapan bir kadındır.,A sorceress is a woman who does sorcery.
,79-un-haham.jpeg,Un haham en un ombre relijiozo judio.,Un rabino es un hombre religioso judío.,Bir haham yahudi bir din adamıdır.,A rabbi is a jewish man of the cloth.
,80-un-hazan.jpeg,Un hazan es el ke kanta i dirije las orasiones.,Un cantor / hazzan es el que dirige y canta las oraciones en la sinagoga.,Bir hazan sinagogta duaları melodileriyle yöneten ve söyleyen kişidir.,A cantor / hazzan is a vocal artist who leads the congregation in prayers.
,81-una-rubisa.jpeg,Una rubisa es la mujer del haham.,"Una ""rubisa"" es la esposa del rabino.","Bir ""rubisa"" hahamın eşidir.","A ""rubisa"" is the wife of the rabbi."
,82-una-nikochera.jpeg,Una mikochera es una mujer de kaza kumplida.,"Una ""nicochera"" es una ama de casa cumplida.","Bir ""nikochera"" mükemmel bir ev hanımıdır.","A ""nikochera"" is an excellent housewife."
,83-un-shastre.jpeg,Un shastre kuze vistidos para ombres.,Un sastre coce vestidos para hombres.,Bir erkek terzisi erkeklere kıyafet diker.,A tailor sews clothes for men.
,84-sara-i-moshe-estan-flortando.jpeg,Sara i Moshe estan flörtando.,Sara y moshe están saliendo.,Sara ve Moşe flört ediyorlar.,Sara and Moshe are dating.
,85-moshe-le-traye-una-roza.jpeg,Moshe le traye una roza a Sara kada dia.,Moshe le trae una rosa a Sarah cada día.,Moşe Sara'ya her gün bir gül getirir.,Moshe brings Sara a rose every day.
,86-sara-le-aze-un-kave.jpeg,Sara le aze un kave kuando Moshe viene.,Sara le hace un café a Moshe cuando viene.,Sara Moşe geldiğinde ona kahve yapar.,Sara make Moshe a coffee when he comes.
,87-a-sara-i-moshe-les-plaze-ir-al-sinema.jpeg,A Sara i Moshe les plaze ir al sinema.,A Sara y Moshe les gusta ir al cíne.,Sara ve Moşe sinemaya gitmekten hoslanirlar.,Sara and Moshe like going to the cinema/movies.
,88-a-vezes-se-van-a-pasear-en-el-bodre-de-la-mar.jpeg,"A vezes se van a pasear en el bodre de la mar,",A veces se van a pasear al borde del mar.,Bazen deniz kıyısında gezmeye giderler.,Sometimes they go for a walk at the seaside.
,89-la-madre-de-sara-esta-aparejando-el-ashugar.jpeg,La madre de Sara le esta aparejando el ashugar.,La madre de Sara esta preparando el ajuar.,Sara'nın annesi çeyizini hazırlıyor.,Sara's mother is preparing her trousseau.
,90-el-padre-de-sara-esta-aparejando-la-dota.jpeg,El padre de Sara está aparejando la dota.,El padre de Sara esta preparando los dote.,Sara'nın babası drahomayı hazırlıyor.,Sara's father is preparing the dowry.
,91-sara-i-moshe-estan-enamorados.jpeg,Sara i Moshe estan enamorados.,Sara y Moshe están enamorados.,Sara ve Moşe aşıklar.,Sara and Moshe are in love.
,92-eyos-se-keren-kazar.jpeg,Eyos se keren kazar.,Ellos quieren casarse.,Onlar evlenmek istiyorlar.,They want to get married.
,93-este-anyo-sara-va-eskapar-la-universidad.jpeg,Este anyo Sara va eskapar la universidad.,Este año Sara terminará la universidad.,Bu yıl Sara üniversiteyi bitirecek.,This year Sara will finish university.
,94-sara-esta-estudiando-ley.jpeg,Sara esta estudiando ley; se va azer avokata.,Sara está estudiando ley; se va a hacer abogada.,Sara hukuk okuyor; avukat olacak.,Sara is studying law; she will be a lawyer.
,95-moshe-es-doktor-i-lavora-en-un-ospital.jpeg,Moshe es doktor i lavora en un ospital.,Moshe es médico y trabaja en un hospital.,Moşe doktordur ve bir hastanede çalışır.,Moshe is a doctor and works at a hospital.
,96-sara-i-moshe-keren-merkar-una-kaza.jpeg,Sara i Moshe keren merkar una kaza.,Sara y Moshe quieren comprar una casa.,Sara ve Moşe bir ev satın almak istiyorlar.,Sara and Moshe want to buy a house.
,97-eyos-keren-una-kaza-afuera-de-la-sivdad.jpeg,Eyos keren una kaza afuera de la sivdad.,Ellos quieren una casa fuera de la ciudad.,Onlar şehir dışında bir ev istiyorlar.,They want a house in the suburbs.
,98-en-enverano-sara-i-moshe-se-van-a-buyukada.jpeg,En enverano Sara i Moshe se van a Büyükada.,"En verano, Sara y Moshe se van a Büyükada.",Yazın Sara ile Moşe Büyükada'ya giderler.,"In the summer, Sara and Moshe go to Büyükada."
,99-eyos-tienen-una-kaza-en-buyukada.jpeg,Eyos tienen una kaza en Büyükada.,Ellos tienen una casa en Büyükada.,Onların Büyükada'da bir evleri var.,They have a house on Büyükada.
,100-la-kaza-es-chika-ma.jpeg,La kaza es chika ma tiene una grande guerta.,La casa es pequeña pero tiene un jardín grande.,Ev küçük ama büyük bir bahçesi var.,The house is small but has a big garden.
,101-kuando-sara-i-moshe-vienen-del-echo-300x300.jpeg,"Kuando Sara i Moshe vienen del echo, los dos se asentan en la guerta.","Cuando Sara y Moshe viene del trabajo, los dos se sentan en el jardín.","Sara ve Moşe işten döndüğünde, ikisi bahçede otururlar.","When Sara & Moshe return from work, they both sit in the garden."
,102-les-plaze-deskansar-en-el-aver-limpio.jpeg,Les plaze deskansar en el aver limpio entre las flores.,Les gusta descansar en el aire limpio entre las flores.,Onlar temiz havada ve çiçekler arasında dinlemekten hoşlanırlar.,They like to rest in the clean air amidst the flowers.
,103-tambien-les-plaze-senar-en-la-guerta.jpeg,Tambien les plaze senar en la guerta.,También les gusta cenar en el jardín.,Bahçede akşam yemeklerini yemekten de hoşlanırlar.,They also like to dine in the garden.
,104-la-sola-koza-ke-no-les-plaze-son-los-moshkos.jpeg,La sola koza ke no les plaze son los moshkos.,La sola cosa que nos les gusta es los mosquitos.,Tek sevmedikleri şey sivrisinekler.,The only thing they don't like is the mosquitoes.
,105-a-sara-no-le-plaze-gizar.jpeg,A Sara no le plaze gizar. Siempre kema las komidas.,A Sara no le gusta cocinar. Siempre quema las comidas.,Sara yemek pişirmeyi sevmez. Her zaman yemekleri yakar.,Sara doesn't like cooking. She always burns the food.
,106-moshe-giza-muy-bueno.jpeg,Moshe giza muy bueno. Le plaze echos de mupak.,"Moshe cocina muy bien. A él, le gusta el trabajo de la cocina.",Moşe cok iyi yemek pişirir. Mutfak islerini sever.,Moshe cooks very well. He likes kitchen chorses.
,107-moshe-tiene-un-echo-yeno-de-stres.jpeg,"Moshe tiene un echo yeno de stres. Kuando entra al mupak, el estres se desaparese.",Moshe tiene un trabajo lleno de estrés. Cuando entra en la cocina el estrés se le desaparece.,Moşe'nin stres dolu bir işi var. Mutfağa girince stresi kaybolur.,Moshe has a stressful job. His stress disappears when he goes into the kitchen.
,108-oy-moshe-esta-gizando-rulikos.jpeg,Oy Moshe esta gizando rulikos de berendjena. Al lado va azer arroz kon tomat.,Hoy Moshe esta cocinando rollitos de berenjena. Va hacer también arroz con tomate.,Bügün Moşe patlıcan ruloları pişiriyor. Yanına de domatesli bir pilav yapancak.,Today Moshe is making eggplant rolls. He is going to make rice with tomatoes on the side.
,109-sara-esta-aparejando-la-meza.jpeg,"Sara está aparejando la meza. Kuando sara apareja la meza, siempre mete rozas i mantel de dantela.","Sara está preparando la mesa. Cuando Sara prepara la mesa, siempre pone flores y mantel de encaje.","Sara masayı hazırlıyor. Sara masa kurduğunda, her zaman çiçek ve dantelli örtü koyar.",Sara is preparing the table. When Sara prepares the table she always puts flowers and a lace tablecloth.
,110-despues-de-senar-sara-prepara-su-lavoro.jpeg,"Despues de senar, Sara prepara su lavoro para el dia sigiente.","Después de cenar, Sara prepara su trabajo para el día siguiente.",Akşam yemeğinden sonra Sara ertesi günkü işini hazırlar.,"After dinner, Sara prepares her work for the following day."
,111-despues-de-cenar-moshe-mira.jpeg,"Despues de senar, Moshe mira las nuvelas en la TV.","Después de cenar, Moshe mira las noticias en la TV.",Akşam yemeğinden sonra Moşe TV'de haberleri seyreder.,"After dinner, Moshe watches the news on TV."
,112.-a-sara-i-moshe-les-plaze-meldar.jpeg,A Sara i Moshe les plaze meldar. Sus kaza es yena de livros.,A Sara y Moshe les gusta leer. Su casa es llena de libros.,Sara ve Moşe okumayı severler. Evleri kitap doludur.,Sara and Moshe like reading. Their house is full of books.
,113.-sara-melda-livros-de-aventura.jpeg,Sara melda livros de aventuras. Eya prefera livros ke no puede deshar de la mano.,Sara lee libros de aventura. Ella prefiere libros que no pueda dejar de la mano.,Sara macera kitapları okur. O elinden bırakamayacağı kitapları tercih eder.,Sara reads adventure books. She prefers books she cannot put down.
,114.-moshe-melda-livros-de-medisina-porke.jpeg,Moshe melda livros de medisina por ke no tiene mucho tiempo.,Moshe lee libros de medicina porque no tiene mucho tiempo.,Moşe tıp kitapları okur çünkü çok fazla vakri yoktur.,Moshe reads books on medicine because he does not have much time.
,115.-viernes-la-tadre-sara-i-moshe-se-van-a-komer.jpeg,"Viernes la tadre, Sara i Moshe se van a komer kon la famiya.","Viernes por la tarde, Sara y Moshe se van a comer con la familia.","Cuma akşamı, Sara ve Moşe aile ile yemeğe giderler.","On Friday evenings, Sara and Moshe go to eat with their family."
,116.-komen-de-las-buenas-komidas.jpeg,Komen de las buenas komidas ke aparejan las madres.,Comen de las buenas comidas que preparan sus madres.,Annelerinin hazırladığı güzel yemekleri yerler.,They eat the nice food that their mothers prepare.
,117.-los-fin-de-semana-sara-i-moshe-se-van-a-djugar-tenis.jpeg,"Los fin de semana, Sara i Moshe djugan tenis.",Sara y Moshe juegan tenis los fines de semana.,Hafta sonları Sara ve Moşe tenis oynarlar.,Sara and Moshe play tennis on weekends.
,118.-despues-de-djugar-tenis.jpeg,"Despues de djugar tenis, se van a nadar en la pisina.","Después de jugar a tenis, se van a nadar en la piscina.",Tenis oynadıktan sonra havuzda yüzmeye giderler.,"After playing tennis, they go swimming in the pool."
,119.-a-moshe-le-plaze-irse-a-konsertos-de-muzika-klasika.jpeg,A Moshe le plaze irse a konsertos de muzika klasika.,A Moshe le gusta irse a conciertos de música clásica.,Moşe klasik müzik konserlerine gitmeyi sever.,Moshe likes going to classical music concerts.
,120.-a-sara-le-plaze-irse-a-bares-de-djaz.jpeg,A Sara le plaze irse a bares de djaz porke le plaze muzika djaz.,A Sara le gusta ir a bares de jazz porque le gusta la música jazz.,Sara caz müzik sevdiği için caz barlara gitmeyi sever.,Sara likes going to jazz bars because she likes jazz music.
,121.-sara-djuga-el-piano-en-kaza-300x300.jpeg,Sara djuga el piano en casa i Moshe la akompanya en kantando.,Sara toca el piano en casa y Moshe la acompaña cantando.,Evde Sara piyano çalar Moşe de ona şarkı söleyerek eşik eder.,Sara plays the piano at home and Moshe accompanies her singing.
,122.-moshe-i-sara-se-van-a-lesones-de-tango.jpeg,Moshe i Sara se van a lesones de tango los Martes.,Moshe y Sara se van a clases de tango los martes.,Moşe ve Sara Salı günleri tango derslerine giderler.,Moshe and Sara go to tango lessons on Tuesdays.
,123.-moshe-trava-fotos-en-su-tiempo-libre.jpeg,Moshe trava fotos en su tiempo libre.,Moshe hace fotos en su tiempo libre.,Moşe boş zamanlarında fotoğraf çeker.,Moshe takes photos in his free time.
,124.-sara-korre-en-la-shara-en-su-tiempo-libre.jpeg,Sara korre en la shara en su tiempo libre.,Sara corre en el bosque en su tiempo libre.,Sara boş vakitlerinde ormanda koşar.,Sara goes running in the forest in her free time.
,125.-moshe-i-sara-se-van-a-los-muzeos.jpeg,Moshe i Sara se van a los muzeos los Alhades.,Moshe y Sara se van a los museos los domingos.,Moşe ve Sara Pazar günleri müzelere giderler.,Moshe and Sara go to museums on Sundays.
,126-sara-beve-8-kaves-al-dia.jpeg,"Sara beve ocho kaves al dia, lo mas kafe turko.","Sara bebe ocho tasas de café el día, en general café turco.","Sara günde sekiz kahve içer, coğu Türk kahvesi.","Sara drinks eight cups of coffee a day, mostly turkish coffee."
